[2026-09-05 00:15:30,059][modules.utils_train][INFO] - Set global random seed to 42
[2026-09-05 00:15:31,070][dataloader.utils_dataloader][INFO] - Split 13720 groups into 10976 train and 2744 validation groups
[2026-09-05 00:15:31,470][modules.utils_train][WARNING] - Skipping invalid manifest entry 5: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:31,703][modules.utils_train][WARNING] - Skipping invalid manifest entry 6: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:31,924][modules.utils_train][WARNING] - Skipping invalid manifest entry 8: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:32,854][modules.utils_train][WARNING] - Skipping invalid manifest entry 17: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:33,090][modules.utils_train][WARNING] - Skipping invalid manifest entry 18: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:33,196][modules.utils_train][WARNING] - Skipping invalid manifest entry 19: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:33,426][modules.utils_train][WARNING] - Skipping invalid manifest entry 21: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:15:33,529][modules.utils_train][WARNING] - Skipping invalid manifest entry 22: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:12,573][modules.utils_train][WARNING] - Skipping invalid manifest entry 566: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:12,623][modules.utils_train][WARNING] - Skipping invalid manifest entry 567: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:13,287][modules.utils_train][WARNING] - Skipping invalid manifest entry 586: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:13,411][modules.utils_train][WARNING] - Skipping invalid manifest entry 589: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:14,342][modules.utils_train][WARNING] - Skipping invalid manifest entry 615: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:17,359][modules.utils_train][WARNING] - Skipping invalid manifest entry 708: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:18,141][modules.utils_train][WARNING] - Skipping invalid manifest entry 736: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:18,428][modules.utils_train][WARNING] - Skipping invalid manifest entry 742: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:24,865][modules.utils_train][WARNING] - Skipping invalid manifest entry 965: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:24,953][modules.utils_train][WARNING] - Skipping invalid manifest entry 966: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:26,470][modules.utils_train][WARNING] - Skipping invalid manifest entry 1011: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:27,255][modules.utils_train][WARNING] - Skipping invalid manifest entry 1033: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:40,715][modules.utils_train][WARNING] - Skipping invalid manifest entry 1427: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:40,751][modules.utils_train][WARNING] - Skipping invalid manifest entry 1428: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:42,509][modules.utils_train][WARNING] - Skipping invalid manifest entry 1486: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:42,953][modules.utils_train][WARNING] - Skipping invalid manifest entry 1493: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:46,364][modules.utils_train][WARNING] - Skipping invalid manifest entry 1598: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:47,036][modules.utils_train][WARNING] - Skipping invalid manifest entry 1612: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:47,340][modules.utils_train][WARNING] - Skipping invalid manifest entry 1616: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:48,571][modules.utils_train][WARNING] - Skipping invalid manifest entry 1651: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:51,709][modules.utils_train][WARNING] - Skipping invalid manifest entry 1736: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:52,816][modules.utils_train][WARNING] - Skipping invalid manifest entry 1775: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:53,422][modules.utils_train][WARNING] - Skipping invalid manifest entry 1791: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:56,095][modules.utils_train][WARNING] - Skipping invalid manifest entry 1867: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:56,532][modules.utils_train][WARNING] - Skipping invalid manifest entry 1879: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:56,872][modules.utils_train][WARNING] - Skipping invalid manifest entry 1887: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:57,037][modules.utils_train][WARNING] - Skipping invalid manifest entry 1892: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:57,619][modules.utils_train][WARNING] - Skipping invalid manifest entry 1907: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:58,459][modules.utils_train][WARNING] - Skipping invalid manifest entry 1937: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:58,510][modules.utils_train][WARNING] - Skipping invalid manifest entry 1939: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:58,538][modules.utils_train][WARNING] - Skipping invalid manifest entry 1940: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:58,851][modules.utils_train][WARNING] - Skipping invalid manifest entry 1949: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:17:58,933][modules.utils_train][WARNING] - Skipping invalid manifest entry 1951: Section ExpertSingle has no window free of events closer than the 20 ms grid
